,city,cloudiness,humidity,lat,pressure,temperature,wind
0,scarborough,8,22,-34.53,1018.0,297.15,4.1
1,scarborough,92,87,22.57,980.36,304.357,2.67
2,scarborough,24,67,32.93,746.59,286.807,0.87
3,scarborough,48,67,-11.33,900.68,296.607,0.77
4,scarborough,80,98,-38.55,1012.14,285.557,2.67
5,scarborough,40,49,62.45,1020.0,293.15,3.6
6,scarborough,90,65,20.89,1019.0,302.21,1.5
7,scarborough,40,57,34.54,1022.0,300.15,4.1
8,scarborough,5,17,27.52,1010.0,311.15,4.6
9,scarborough,0,52,-54.81,1020.0,278.15,9.3
10,scarborough,92,100,36.62,743.43,285.357,1.42
11,scarborough,0,69,-33.59,1028.75,291.507,3.92
12,scarborough,0,80,-30.17,1015.05,294.707,2.72
13,scarborough,40,30,42.65,1018.0,299.42,2.1
14,scarborough,75,46,65.28,1016.0,295.15,2.6
15,scarborough,0,14,32.86,1010.0,301.15,5.1
16,scarborough,48,100,8.0,935.29,293.057,0.72
17,scarborough,0,57,-34.42,992.52,286.457,3.02
18,scarborough,75,70,22.08,1018.0,302.7,6.2
19,scarborough,75,66,16.99,1011.0,304.15,4.6
20,scarborough,92,99,15.34,952.72,294.507,4.02
21,scarborough,68,98,5.43,1007.52,294.807,1.77
22,scarborough,0,100,-23.12,1038.4,296.057,10.42
23,scarborough,0,53,-34.0,1026.08,293.607,5.67
24,scarborough,20,77,50.12,1019.0,289.15,3.1
25,scarborough,0,87,-31.97,999.25,278.557,5.62
26,scarborough,0,90,-33.02,1034.1,294.257,7.42
27,scarborough,40,70,10.24,1011.0,303.15,7.2
28,scarborough,20,78,-46.19,1010.11,275.057,3.47
29,scarborough,20,56,-42.88,995.0,280.15,7.7
30,scarborough,0,80,-53.16,1022.0,272.15,4.1
31,scarborough,12,100,-46.43,1025.11,274.607,0.92
32,scarborough,92,94,16.73,1012.79,297.957,6.57
33,scarborough,92,99,8.96,777.96,284.907,1.22
34,scarborough,92,99,-38.31,1007.11,284.207,3.42
35,scarborough,0,68,67.46,1019.27,282.557,1.42
36,scarborough,20,51,-0.74,1010.0,301.15,9.3
37,scarborough,75,44,55.74,1012.0,297.15,6.7
38,scarborough,75,76,78.22,1005.0,283.15,2.1
39,scarborough,0,89,-51.62,1036.86,275.507,10.32
40,scarborough,24,100,64.25,1013.84,282.357,1.37
41,scarborough,0,49,68.05,1010.92,293.557,5.82
42,scarborough,90,93,69.44,1015.0,280.15,6.2
43,scarborough,0,49,-20.25,1021.0,294.09,3.6
44,scarborough,75,94,6.8,1011.0,298.15,3.1
45,scarborough,80,46,37.17,951.1,310.007,2.52
46,scarborough,92,100,-33.64,1026.48,290.157,9.62
47,scarborough,88,100,-16.23,1035.08,297.557,4.32
48,scarborough,40,100,3.63,1014.0,298.15,1.0
49,scarborough,20,94,24.75,1004.0,300.15,4.6
50,scarborough,0,13,22.68,986.44,304.557,2.62
51,scarborough,20,23,44.29,1018.0,303.15,5.7
52,scarborough,40,62,10.49,1014.0,303.15,1.47
53,scarborough,88,97,-8.93,948.18,292.857,0.87
54,scarborough,92,100,7.62,1020.81,294.907,1.42
55,scarborough,12,86,59.44,967.8,286.007,0.77
56,scarborough,0,78,28.66,1020.0,295.15,6.7
57,scarborough,100,80,65.61,1011.0,278.15,2.6
58,scarborough,1,13,40.74,1018.0,310.15,4.6
59,scarborough,1,51,39.31,1019.0,302.01,4.6
60,scarborough,88,96,-33.69,1019.11,290.907,1.22
61,scarborough,40,41,16.38,1011.0,307.15,1.22
62,scarborough,92,98,60.14,1008.73,277.057,4.92
63,scarborough,0,94,21.46,1029.64,301.807,7.97
64,scarborough,88,98,27.59,688.79,284.307,0.62
65,scarborough,75,83,-21.21,1018.0,299.15,4.6
66,scarborough,8,100,-9.8,1027.86,299.657,11.07
67,scarborough,20,94,35.73,1011.0,299.68,2.6
68,scarborough,68,70,71.98,1016.59,276.757,6.82
69,scarborough,0,45,-34.58,1003.0,282.15,2.6
70,scarborough,75,100,53.14,1012.0,289.15,3.0
71,scarborough,75,57,-35.55,1016.0,284.15,7.7
72,scarborough,1,47,48.61,1009.0,300.15,1.5
73,scarborough,0,64,-25.24,1023.0,276.15,1.0
74,scarborough,92,93,49.65,987.25,287.307,1.62
75,scarborough,0,90,50.68,1012.79,285.557,1.42
76,scarborough,88,70,57.6,1000.55,291.557,2.67
77,scarborough,64,100,-0.6,1024.05,299.157,0.57
78,scarborough,36,83,53.19,993.41,292.807,2.97
79,scarborough,0,76,-42.48,1028.1,281.507,1.27
80,scarborough,1,68,40.8,1018.0,290.0,7.2
81,scarborough,0,72,-26.65,1019.03,287.757,1.52
82,scarborough,0,97,72.79,1012.71,276.907,7.97
83,scarborough,0,87,65.01,1024.29,287.507,2.22
84,scarborough,48,95,-2.54,997.22,293.907,0.87
85,scarborough,40,64,-20.34,1024.0,294.15,6.7
86,scarborough,20,56,-42.78,995.0,280.15,7.7
87,scarborough,76,98,14.9,1015.05,297.407,2.22
88,scarborough,20,91,11.0,1001.03,297.607,2.87
89,scarborough,20,68,-6.15,1010.0,294.15,10.8
90,scarborough,40,42,49.72,1010.0,301.15,7.7
91,scarborough,56,82,-1.2,1024.21,300.557,3.12
92,scarborough,90,65,19.71,1018.0,298.35,2.1
93,scarborough,1,52,34.8,1014.0,304.98,2.1
94,scarborough,20,77,38.73,1029.0,294.15,8.37
95,scarborough,56,89,-23.58,1009.46,284.257,1.32
96,scarborough,92,100,-19.9,1010.36,289.157,1.42
97,scarborough,40,44,21.05,1013.0,308.15,3.6
98,scarborough,40,83,-10.16,1012.0,298.15,3.6
